Field Name,Question,Values
16.2. Youth,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.3. Seniors (age 65+),16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
"16.4. Indigenous peoples (First Nations, Inuit, Métis)",16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.5. Racialized groups,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.6. Black communities,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
"16.7. Newcomers, immigrants and refugees",16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.8. Undocumented Torontonians,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.9. People with disabilities,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.10. Trans or non-binary people,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
"16.11. Lesbian, gay, bisexual or queer (LGBQ+ people)",16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.12. Two-Spirit people,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.13. People living on low incomes,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.14. Other,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
16.15. Prefer not to answer,16.  Tell us about the specific target population that your agency serves. Please select all that apply:,"1
NULL"
17. How many paid employees does your agency have? Please indicate based on usual operations.,17. How many paid employees does your agency have? Please indicate based on usual operations.,"0
1-5
6-10
11-20
21-100
Over 100
Prefer not to answer
NULL"
18. What is your agency's annual operating budget?,18. What is your agency's annual operating budget?,"0 - $99,999
$100,000 - $249,999
$250,000 - $499,999
$500,000 - $999,999
$1,000,000 - $10,000,000
Over $10,000,000
Prefer not to answer
NULL"
"19. If desired, please provide your Agency Name, which will be used only for the purposes of better understanding the agencies that have participated in the process. Please note, it is optional to identify the Agency Name.","19.  If desired, please provide your Agency Name, which will be used only for the purposes of better understanding the agencies that have participated in the process. Please note, it is optional to identify the Agency Name.","freeform text
NULL"
